name,image_url,location,Acceptance,GRE
Carnegie Mellon University,https://www.cmu.edu/brand/brand-guidelines/images/seal-4c-600x600-min.jpg,"Pittsburgh, Pennsylvania, USA",10-15%  ,315-330  
University of Maryland - College Park,https://umd-brand.transforms.svdcdn.com/production/uploads/images/logos-formal-seal.jpg?w=1801&h=1801&auto=compress%2Cformat&fit=crop&dm=1651267392&s=81a14f930f7888983f0f8bc10146c0b2,"College Park, Maryland, USA",20-25%  ,310-325  
University of Virginia,https://brand.virginia.edu/sites/uva_brand/files/2023-07/73_UVALogo_800x800.jpg,"Charlottesville, Virginia, USA",15-20%  ,315-325  
Arizona State University,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Arizona_State_University_logo.svg/2560px-Arizona_State_University_logo.svg.png,"Tempe, Arizona, USA  ",50-60%  ,305-320  
Pennsylvania State University,https://brand.psu.edu/images/backgrounds/veritcal-1-mark_registered.png,"University Park, Pennsylvania, USA  ",35-45%  ,310-325  
University of Southern California,https://identity.usc.edu/wp-content/uploads/2022/10/Regular_seal_v3.png,"Los Angeles, California, USA  ",15-20%  ,315-330  
Univ. of Illinois at Urbana-Champaign,https://news.illinois.edu/files/6367/543635/116641.jpg,"Champaign, Illinois, USA  ",15-20%  ,320-335  
Georgia Institute of Technology,https://brand.gatech.edu/sites/default/files/inline-images/extended-RGB.png,"Atlanta, Georgia, USA  ",15-20%  ,320-335  
Massachusetts Institute of Technology,https://upload.wikimedia.org/wikipedia/en/thumb/4/44/MIT_Seal.svg/1200px-MIT_Seal.svg.png,"Cambridge, Massachusetts, USA  ",6-10%  ,325-340  
Rutgers University,https://camden.rutgers.edu/html/lp/images/RUC_logo.png,"New Brunswick, New Jersey, USA  ",30-40%  ,310-325  
Univ. of California - Los Angeles,https://tethys.pnnl.gov/sites/default/files/styles/captioned_400xauto/public/taxonomy-images/ucla-logo.png?itok=gL1W_feN,"Los Angeles, California, USA  ",15-20%  ,320-335  
Univ. of California - San Diego,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Seal_of_the_University_of_California%2C_San_Diego.svg/1200px-Seal_of_the_University_of_California%2C_San_Diego.svg.png,"San Diego, California, USA  ",20-25%  ,320-335  
University of Illinois at Chicago,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100064902363519,"Chicago, Illinois, USA  ",40-50%  ,300-315  
University of Michigan,https://umdearborn.edu/sites/default/files/inline-images/logo-spread%20copy_0.png,"Ann Arbor, Michigan, USA  ",20-25%  ,320-335  
Northeastern University,https://climatech2024.advertisingweek.com/images/userfiles/ClimaTech24/Logos/Northeastern-University-Logo.png,"Boston, Massachusetts, USA  ",15-20%  ,310-325  
Northwestern University,https://www.northwestern.edu/brand/images/nu-horizontal.jpg,"Evanston, Illinois, USA  ",10-15%  ,320-335  
Rochester Institute of Technology,https://upload.wikimedia.org/wikipedia/commons/4/49/Rochester_Institute_of_Technology_Seal_%282018%29.svg,"Rochester, New York, USA  ",45-55%  ,300-315  
Washington University in St. Louis,https://source.washu.edu/app/uploads/2024/08/WashU-RGB-600x400-1.jpg,"St. Louis, Missouri, USA  ",25-30%  ,315-330  
University of Notre Dame,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/University_of_Notre_Dame_seal_%282%29.svg/1200px-University_of_Notre_Dame_seal_%282%29.svg.png,"Notre Dame, Indiana, USA  ",20-25%  ,320-335  
Rice University,https://www.pvamu.edu/wp-content/uploads/2021/06/rice-university-logo.jpg,"Houston, Texas, USA  ",12-18%  ,325-340  
University of Central Florida,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Seal_of_the_University_of_Central_Florida.svg/1200px-Seal_of_the_University_of_Central_Florida.svg.png,"Orlando, Florida, USA  ",45-50%  ,305-320  
Harvard University,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Harvard_University_coat_of_arms.svg/1200px-Harvard_University_coat_of_arms.svg.png,"Cambridge, Massachusetts, USA  ",6-10%  ,325-340  
North Carolina State University,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/North_Carolina_State_University_Athletic_logo.svg/860px-North_Carolina_State_University_Athletic_logo.svg.png,"Raleigh, North Carolina, USA  ",25-30%  ,310-325  
University of Texas at Dallas,https://brand.utdallas.edu/files/2024/03/monogram-wordmark-4-19-2022-12dc230c22b588d8.jpg,"Richardson, Texas, USA  ",30-35%  ,315-330  
Univ. of California - Berkeley,https://upload.wikimedia.org/wikipedia/commons/a/a1/Seal_of_University_of_California%2C_Berkeley.svg,"Berkeley, California, USA  ",8-12%  ,325-340  
University of Texas at Austin,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/University_of_Texas_at_Austin_seal.svg/1200px-University_of_Texas_at_Austin_seal.svg.png,"Austin, Texas, USA  ",10-15%  ,320-335  
Cornell University,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Cornell_University_seal.svg/1200px-Cornell_University_seal.svg.png,"Ithaca, New York, USA  ",10-15%  ,320-335  
Univ. of California - Irvine,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/University_of_California%2C_Irvine_seal.svg/800px-University_of_California%2C_Irvine_seal.svg.png,"Irvine, California, USA  ",25-30%  ,310-325  
University of Massachusetts Amherst,https://upload.wikimedia.org/wikipedia/commons/4/4f/UMass_Seal_Medium_PMS_202.png,"Amherst, Massachusetts, USA  ",20-30%  ,310-325  
Michigan State University,http://noirlab.edu/public/media/archives/logos/screen/logo031.jpg,"East Lansing, Michigan, USA  ",35-45%  ,305-320  
University of Toronto,https://downloads.prophesee.ai/website/2024/09/university-of-toronto-logo.png,"Toronto, Ontario, Canada  ",40-50%  ,315-330  
University of Alberta,https://www.ualberta.ca/media-library/ualberta/homepage/university-of-alberta-logo.jpg,"Edmonton, Alberta, Canada  ",35-45%  ,310-325  
University of Waterloo,https://uwaterloo.ca/brand/sites/ca.brand/files/styles/body-500px-wide/public/uploads/images/universityofwaterloo_logo_horiz_rgb_1.jpg?itok=1aKXR4xp,"Waterloo, Ontario, Canada  ",40-50%  ,315-330  
Simon Fraser University,https://upload.wikimedia.org/wikipedia/en/0/0b/Simon_Fraser_University_coat_of_arms.png,"Burnaby, British Columbia, Canada  ",35-45%  ,310-325  
University of British Columbia,https://ires.ubc.ca/files/2019/10/ubc-logo.png,"Vancouver, British Columbia, Canada  ",35-45%  ,315-330  
UniversitÃ© du QuÃ©bec Ã  MontrÃ©al,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Universit%C3%A9_du_Qu%C3%A9bec_%C3%A0_Montr%C3%A9al_Logo.svg/1200px-Universit%C3%A9_du_Qu%C3%A9bec_%C3%A0_Montr%C3%A9al_Logo.svg.png,"Montreal, Quebec, Canada  ",30-40%  ,310-325  
University of Montreal,https://upload.wikimedia.org/wikipedia/en/thumb/4/4b/Universite_de_Montreal_logo.svg/2560px-Universite_de_Montreal_logo.svg.png,"Montreal, Quebec, Canada  ",30-40%  ,310-325  
University of Ottawa,https://www.kryton.com/wp-content/uploads/2022/06/updated_logo_0.jpg,"Ottawa, Ontario, Canada  ",30-40%  ,310-325  
UniversitÃ© Laval,https://upload.wikimedia.org/wikipedia/en/thumb/9/90/Ulaval_Shield.svg/1200px-Ulaval_Shield.svg.png,"Quebec City, Quebec, Canada  ",35-45%  ,310-325  
Carleton University,https://carleton.ca/brand/wp-content/uploads/brand-logo-800w-1.jpg,"Ottawa, Ontario, Canada  ",30-40%  ,305-320  
McGill University,https://www.mcgill.ca/neuro/files/neuro/mcgill-university-logo-png-transparent-cropped.png,"Montreal, Quebec, Canada  ",30-40%  ,310-325  
York University,https://www.yorku.ca/brand/wp-content/uploads/sites/386/2023/08/UB_Logos_2.png,"Toronto, Ontario, Canada  ",30-40%  ,310-325  
University of Manitoba,https://umanitoba.ca/sites/default/files/styles/3x2_900w/public/2020-01/university-of-manitoba-logo_1.jpg?itok=fLvu0539,"Winnipeg, Manitoba, Canada  ",35-45%  ,315-330  
University of Regina,https://www.uregina.ca/communications-marketing/assets/visual-identity/Primary_Logo/Full%20Colour/UR_Logo_Primary_Full_Colour_RGB.jpg,"Regina, Saskatchewan, Canada  ",35-45%  ,310-325  
Concordia University,https://www.cuchicago.edu/static/images/concordia-university-chicago-logo_rebrand.svg,"Montreal, Quebec, Canada  ",35-45%  ,310-325  
Queenâ€™s University,https://www.queensu.ca/brand-central/sites/bcwww/files/uploaded_images/logos/Queens-viguide-logos-1200x589-horizontal-2x_1.jpg,"Kingston, Ontario, Canada  ",30-40%  ,310-325  
University of Victoria,https://www.uvic.ca/brand/_assets/images/cards/cards/uvic-mark.webp,"Victoria, British Columbia, Canada  ",30-40%  ,310-325  
ETS Montreal,https://upload.wikimedia.org/wikipedia/en/2/2f/%C3%89cole_de_technologie_sup%C3%A9rieure_%28logo%29.png,"Montreal, Quebec, Canada  ",35-45%  ,315-330  
McMaster University,https://upload.wikimedia.org/wikipedia/en/thumb/5/53/McMaster_University_logo.svg/1200px-McMaster_University_logo.svg.png,"Hamilton, Ontario, Canada  ",30-40%  ,315-330  
Western University,https://brand.westernu.ca/assets/img/assets/indexpage-thumbs/western-brand.svg,"London, Ontario, Canada  ",30-40%  ,310-325  
Polytechnique Montreal,https://crepec.com/wp-content/uploads/2023/10/Logo_Polytechnique_Montreal.png,"Montreal, Quebec, Canada  ",30-40%  ,315-330  
University of Guelph,https://news.uoguelph.ca/wp-content/uploads/2021/08/ug-logo-stacked-1000x325.jpg,"Guelph, Ontario, Canada  ",35-45%  ,310-325  
Toronto Metropolitan University,https://www.torontomu.ca/content/dam/brand/global/images/brand-toolkit/brand-toolkit-1.jpg,"Toronto, Ontario, Canada  ",30-40%  ,310-325  
Dalhousie University,https://www.dal.ca/content/experience-fragments/www/global/homepage-header/master/_jcr_content/root/wrapper/flex_wrapper/image.coreimg.svg/1709069699013/dalhousie-logo-black.svg,"Halifax, Nova Scotia, Canada  ",35-45%  ,310-325
University of Calgary,https://www.ucalgary.ca/sites/default/files/styles/ucws_image_desktop/public/2019-09/UCalgary_Vertical_logo_colour_1.jpg?h=55272f2a&itok=jPNYtxo_,"Calgary, Alberta, Canada  ",40-50%  ,305-320  
University of Edinburgh,https://d2kmbl0trprm6g.cloudfront.net/images/made/images/uploads/general/Uni-logo-EDINBURGH_730_290_80.jpg,"Edinburgh, Scotland, UK  ",30-40%  ,315-330  
Imperial College London,https://data.org/wp-content/uploads/2023/06/Imperial-College-Logo.png,"London, England, UK  ",15-20%  ,320-335  
University of Oxford,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Oxford-University-Circlet.svg/1636px-Oxford-University-Circlet.svg.png,"Oxford, England, UK  ",10-15%  ,325-340  
King's College London,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/King%27s_College_London_logo.svg/2560px-King%27s_College_London_logo.svg.png,"London, England, UK  ",15-20%  ,320-335  
University of Liverpool,https://upload.wikimedia.org/wikipedia/commons/e/e6/Arms_of_the_University_of_Liverpool.svg,"Liverpool, England, UK  ",35-45%  ,305-320  
University of Southampton,https://upload.wikimedia.org/wikipedia/en/3/32/University_of_Southampton_Logo.png,"Southampton, England, UK  ",30-40%  ,310-325  
Cardiff University,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Cardiff_University_%28logo%29.svg/2131px-Cardiff_University_%28logo%29.svg.png,"Cardiff, Wales, UK  ",35-45%  ,310-325  
Royal Holloway University of London,https://storage.googleapis.com/production-justhost-v1-0-6/836/576836/kP5vKQwG/782ddc7cd38b4faf9ab75afa1468fc18,"Egham, England, UK  ",35-45%  ,310-325  
University of Surrey,https://cdn.freebiesupply.com/logos/large/2x/university-of-surrey-logo-png-transparent.png,"Guildford, England, UK  ",30-40%  ,310-325  
University College London,https://www.ucl.ac.uk/brand/sites/brand/files/styles/small_image/public/ucl-logo-black-on-grey.jpg?itok=ooOI6Tcx,"London, England, UK  ",15-20%  ,320-335  
University of Aberdeen,https://d2kmbl0trprm6g.cloudfront.net/images/made/images/uploads/general/University_of_Aberdeen_Logo_Small_730_290_80.jpg,"Aberdeen, Scotland, UK  ",35-45%  ,310-325  
University of Birmingham,https://assets.stickpng.com/images/626ba2f61dc4c3b537787e14.png,"Birmingham, England, UK  ",30-40%  ,315-330  
Queen Mary University of London,https://lpde.maths.qmul.ac.uk/a.shao/events/ws2020/qmul.jpg,"London, England, UK  ",25-30%  ,320-335  
University of Warwick,https://auto-sens.com/wp-content/uploads/2022/04/Warwick-University.webp,"Coventry, England, UK  ",20-25%  ,320-335  
University of Manchester,https://www.staffnet.manchester.ac.uk/brand/visual-identity/logo/logo_big.gif,"Manchester, England, UK  ",25-30%  ,315-330  
University of Essex,https://upload.wikimedia.org/wikipedia/commons/2/2e/University_of_Essex_logo.jpg,"Colchester, England, UK  ",40-50%  ,305-320  
University of York,https://www.york.ac.uk/static/stable/img/logo.svg,"York, England, UK  ",35-45%  ,310-325  
University of Cambridge,https://www.cam.ac.uk/sites/www.cam.ac.uk/files/inner-images/logo.jpg,"Cambridge, England, UK  ",10-15%  ,325-340  
University of Leeds,https://www.trentu.ca/studyabroad/sites/trentu.ca.studyabroad/files/documents/Partner%20Profiles/University%20of%20Leeds/University%20of%20Leeds%20Logo.png,"Leeds, England, UK  ",25-30%  ,315-330  
Lancaster University,https://ires.ubc.ca/files/2019/07/Lancaster-University-Logo.f1ab941e50411da795077bfed5b7e24b291fd1a3.png,"Lancaster, England, UK  ",30-40%  ,315-330  
UNSW,https://engagementaustralia.org.au/wp-content/uploads/2023/04/new-UNSW-logo-png-vertical-crest.png,"Sydney, New South Wales, Australia  ",15-20%  ,320-335  
University of Melbourne,https://data.org/wp-content/uploads/2021/12/the-university-of-melbourne-logo-png-transparent-1.png,"Melbourne, Victoria, Australia  ",10-15%  ,320-335  
Australian National University,https://www.prophesee.ai/wp-content/uploads/2023/04/australian-national-university-vector-logo-2021.png,"Canberra, Australian Capital Territory, Australia  ",10-15%  ,320-335  
University of Technology Sydney,https://assets.stickpng.com/images/58482397cef1014c0b5e49c3.png,"Sydney, New South Wales, Australia  ",15-20%  ,315-330  
University of Sydney,https://www.azul.com/wp-content/uploads/b_University_of_Sydney_b.png,"Sydney, New South Wales, Australia  ",15-20%  ,315-330  
Macquarie University,https://1000logos.net/wp-content/uploads/2020/10/Macquarie-University-logo.png,"Sydney, New South Wales, Australia  ",20-25%  ,310-325  
University of Adelaide,https://www.adelaide.edu.au/brand/sites/default/files/media/editor-images/2021-07/uoa-logo-col-vert.gif,"Adelaide, South Australia, Australia  ",30-40%  ,310-325  
Griffith University,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100064710244803,"Brisbane, Queensland, Australia  ",30-40%  ,310-325  
RMIT University,https://1000logos.net/wp-content/uploads/2019/07/RMIT-Logo.png,"Melbourne, Victoria, Australia  ",30-40%  ,310-325  
Monash University,https://upload.wikimedia.org/wikipedia/commons/7/7c/Monash_University_logo.svg,"Melbourne, Victoria, Australia  ",25-30%  ,310-325  
University of Queensland,https://lobularbreastcancer.org/wp-content/uploads/2024/09/UQ-300x300-1.png,"Brisbane, Queensland, Australia  ",20-25%  ,310-325  
University of Wollongong,https://www.uow.edu.au/assets/curated/brand-playbook/logo/logo-primary.png,"Wollongong, New South Wales, Australia  ",35-45%  ,310-325  
University of Western Australia,https://usercontent.one/wp/studyoptions.com/wp-content/uploads/2021/09/The-University-of-Western-Australia-logo-profile.jpg,"Perth, Western Australia, Australia  ",30-40%  ,310-325  
Queensland University of Technology,https://downloads.prophesee.ai/website/2024/09/Queensland-University-of-Technology-logo.jpg,"Brisbane, Queensland, Australia  ",30-40%  ,305-320  
Western Sydney University,https://upload.wikimedia.org/wikipedia/en/f/f0/Western_Sydney_University_Crest.png,"Sydney, New South Wales, Australia  ",30-40%  ,305-320  
TU Berlin,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Logo_der_Technischen_Universit%C3%A4t_Berlin.svg/1280px-Logo_der_Technischen_Universit%C3%A4t_Berlin.svg.png,"Berlin, Germany  ",25-30%  ,315-330  
RWTH Aachen University,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/RWTH_Logo_3.svg/1200px-RWTH_Logo_3.svg.png,"Aachen, Germany  ",20-25%  ,320-335  
LMU Munich,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/LMU_Muenchen_Logo.svg/1200px-LMU_Muenchen_Logo.svg.png,"Munich, Germany  ",15-20%  ,320-335  
Max Planck Society,https://www.campana-schott.com/media/user_upload/Logos/Customers/300x170/MPG_Logo_Update_01_RGB_mpg-green.png,Germany (various institutes)  ,15-20%  ,325-340  
Saarland University,https://www.se.cs.uni-saarland.de/projects/BrainsOnCode/images/uds_logo.png,"Saarbrücken, Germany  ",25-30%  ,310-325  
TU Dortmund,https://www.tu-dortmund.de/typo3conf/ext/tudo_base/Resources/Public/Images/tu-dortmund-logo-social.png,"Dortmund, Germany  ",35-45%  ,305-320  
Hasso Plattner Institute,https://upload.wikimedia.org/wikipedia/commons/f/f2/Hasso-Plattner-Institut_logo.svg,"Potsdam, Germany  ",30-40%  ,305-320  
CISPA Helmholtz Center,https://helmholtz.software/image/rpc/get_image?uid=769b98b74099646aa6bb597caefa24abfbecd74b,"Saarbrücken, Germany  ",15-20%  ,320-335  
TU Munich,https://www.dwih-newdelhi.org/files/2019/04/TUM-logo-1-e1646633307305-954x406.png,"Munich, Germany  ",25-30%  ,310-325  
Friedrich Schiller University Jena,https://www.uni-jena.de/unijenamedia/14520/wort-bildmarke-universitaet-jena.jpg?height=268&width=800,"Jena, Germany  ",35-45%  ,310-325  
University of Hannover,https://www.uni-hannover.de/fileadmin/_processed_/1/5/csm_luh-logo-3x2_8dea6c08fc.jpg,"Hannover, Germany  ",30-40%  ,315-330  
TU Clausthal,https://upload.wikimedia.org/wikipedia/commons/1/1e/TU_Clausthal_seal.gif,"Clausthal-Zellerfeld, Germany  ",35-45%  ,315-330  
TU Dresden,https://heritagenetwork.org/medias/photo/logo-tu-dresden-2-_1731663412550-png?ID_FICHE=182908,"Dresden, Germany  ",25-30%  ,305-320  
University of Freiburg,https://upload.wikimedia.org/wikipedia/commons/e/eb/Siegel_der_Albert-Ludwigs-Universit%C3%A4t_Freiburg.svg,"Freiburg, Germany  ",25-30%  ,305-320  
Ruhr-University Bochum,https://services.ruhr-uni-bochum.de/sites/services.ruhr-uni-bochum.de/files/styles/991x660px/public/2023-10/logo_rub_blau.png?h=d95abdc4&itok=S09V6mdY,"Bochum, Germany  ",25-30%  ,305-320  
University of DÃ¼sseldorf,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/HHU_Logo.svg/2560px-HHU_Logo.svg.png,"Düsseldorf, Germany  ",25-30%  ,305-320  
University of Koblenz-Landau,https://uct.de/en/wp-content/uploads/sites/3/2023/01/UniLogoNeu.svg,"Koblenz-Landau, Germany  ",30-40%  ,305-320  
University of Leipzig,https://upload.wikimedia.org/wikipedia/commons/4/4e/Universit%C3%A4t_Leipzig_logo.svg,"Leipzig, Germany  ",30-40%  ,305-320  
TU Darmstadt,https://ml-research.github.io/images/tud_weblogo.svg,"Darmstadt, Germany  ",25-30%  ,315-330  
University of Stuttgart,https://tethys.pnnl.gov/sites/default/files/styles/captioned_400xauto/public/taxonomy-images/University_of_Stuttgart_logo.jpg?itok=vrWob3_p,"Stuttgart, Germany  ",20-25%  ,315-330  
Stanford University,http://identity.stanford.edu/wp-content/uploads/sites/3/2020/07/block-s-right.png,"Stanford, California, USA  ",10-15%  ,325-340  
Johns Hopkins University,https://brand.jhu.edu/wp-content/uploads/2024/07/logos-vertical-1024x683.jpg,"Baltimore, Maryland, USA  ",15-20%  ,320-335  
Boston University,https://companyone.org/wp-content/uploads/2023/11/Boston-University-Logo.png,"Boston, Massachusetts, USA  ",25-30%  ,315-330  
