name,image_url,location,Acceptance,GRE
University of Wisconsin - Madison,https://brand.wisc.edu/content/uploads/2023/09/vert-w-crest-logo-web-digital-color.png,"Madison, Wisconsin, USA  ",25-30%  ,315-330  
Stony Brook University,https://upload.wikimedia.org/wikipedia/en/thumb/1/1d/Stony_Brook_University_seal.svg/1200px-Stony_Brook_University_seal.svg.png,"Stony Brook, New York, USA  ",35-45%  ,310-325  
Princeton University,https://upload.wikimedia.org/wikipedia/commons/d/d0/Princeton_seal.svg,"Princeton, New Jersey, USA  ",10-15%  ,325-340  
University of Pennsylvania,https://branding.web-resources.upenn.edu/sites/default/files/styles/card_3x2/public/2022-03/UniversityofPennsylvania_Vertical_RGB-2.png?h=02be4b2a&itok=mPdml12L,"Philadelphia, Pennsylvania, USA  ",10-15%  ,325-340  
University of North Carolina,https://upload.wikimedia.org/wikipedia/commons/d/d7/North_Carolina_Tar_Heels_logo.svg,"Chapel Hill, North Carolina, USA  ",20-25%  ,315-330  
Univ. of California - Merced,https://upload.wikimedia.org/wikipedia/en/5/51/UC_Merced_Seal.png,"Merced, California, USA  ",25-30%  ,310-325  
University of Rochester,https://1000logos.net/wp-content/uploads/2022/07/University-of-Rochester-Logo.png,"Rochester, New York, USA  ",20-25%  ,315-330  
New York University,https://mlt.org/wp-content/uploads/2015/12/New-York-University-NYU-Stern-School-of-Business-Logo.png,"New York, New York, USA  ",25-30%  ,315-330  
Columbia University,https://admissions.ucr.edu/sites/default/files/styles/form_preview/public/2020-07/ucr-education-logo-columbia-university.png?itok=-0FD6Ma2,"New York, New York, USA  ",10-15%  ,320-335  
University of Washington,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Washington_Huskies_logo.svg/2560px-Washington_Huskies_logo.svg.png,"Seattle, Washington, USA  ",15-20%  ,320-335  
University at Buffalo,https://www.buffalo.edu/content/www/brand/identity/university-logo-and-marks/_jcr_content/par/image_13.img.209.auto.png/1460123040155.png,"Buffalo, New York, USA  ",35-45%  ,310-325  
Univ. of California - Riverside,https://upload.wikimedia.org/wikipedia/en/5/51/UC_Riverside_seal.svg,"Riverside, California, USA  ",35-45%  ,305-320  
University of New Brunswick,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100064734398841,"Fredericton, New Brunswick, Canada  ",35-45%  ,305-320  
UniversitÃ© de Sherbrooke,https://jedeviensmedecin.com/wp-content/uploads/2023/04/logo-UdS.png,"Sherbrooke, Quebec, Canada  ",35-45%  ,315-330  
University of Bath,https://cdn.worldvectorlogo.com/logos/university-of-bath.svg,"Bath, England, UK  ",35-45%  ,315-330  
University of Bristol,https://upload.wikimedia.org/wikipedia/commons/d/d1/Shield_of_the_University_of_Bristol.svg,"Bristol, England, UK  ",30-40%  ,315-330  
University of Sheffield,https://jmeducationgroup.com/wp-content/uploads/2021/03/Sheffield-Logo-02.png,"Sheffield, England, UK  ",35-45%  ,315-330  
Durham University,https://assets.stickpng.com/images/626b9fe21dc4c3b537787dfc.png,"Durham, England, UK  ",30-40%  ,315-330  
University of Exeter,https://exepose.com/wp-content/uploads/2022/09/Uni_Landscape_Pos_Lrg-e1662406285626.png,"Exeter, England, UK  ",30-40%  ,310-325  
Queen's University Belfast,https://www.fulbright.ie/wp-content/uploads/2019/02/Filetoupload775229en.jpg,"Belfast, Northern Ireland, UK  ",30-40%  ,315-330  
Aberystwyth University,https://www.aber.ac.uk/en/gmsr/brand/logo/brand-web.jpg,"Aberystwyth, Wales, UK  ",35-45%  ,310-325  
University of Nottingham,https://www.nottingham.ac.uk/Brand/LegacyAssets/images-multimedia/2020/Visual-identity/Logos/logo-annotated.jpg,"Nottingham, England, UK  ",35-45%  ,310-325  
Loughborough University,https://logocurio.us/wp-content/uploads/2015/09/lu-logo-proposed-2.jpg,"Loughborough, England, UK  ",35-45%  ,310-325  
University of Sussex,https://upload.wikimedia.org/wikipedia/commons/3/34/University_of_Sussex_Logo.svg,"Brighton, England, UK  ",35-45%  ,310-325  
Brunel University London,https://study-eu.s3.eu-west-1.amazonaws.com/uploads/university/brunel-university-london-210-logo.png,"Uxbridge, England, UK  ",35-45%  ,305-320  
Birkbeck University of London,https://upload.wikimedia.org/wikipedia/commons/7/7a/Birkbeck%2C_University_of_London.png,"London, England, UK  ",30-40%  ,305-320  
City University of London,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100064606967081,"London, England, UK  ",30-40%  ,305-320  
University of Kent,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/University_of_Kent_logo.svg/1280px-University_of_Kent_logo.svg.png,"London, England, UK  ",25-30%  ,305-320  
University of TÃ¼bingen,https://virtualhumans.mpi-inf.mpg.de/img/Tuebingen_logo.png,"Canterbury, England, UK  ",25-30%  ,315-330  
University of WÃ¼rzburg,https://www.uni-wuerzburg.de/fileadmin/_processed_/a/f/csm_uni-logo_e03629d93d.jpg,"Tübingen, Germany  ",25-30%  ,315-330  
University of Bonn,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Universit%C3%A4t_Bonn.svg/2560px-Universit%C3%A4t_Bonn.svg.png,"Würzburg, Germany  ",20-25%  ,315-330  
Heidelberg University,https://inside.heidelberg.edu/sites/default/files/users/rhiser/images/Logo_0.jpg,"Bonn, Germany  ",20-25%  ,315-330  
Karlsruhe Institute of Technology,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/Logo_KIT.svg/1280px-Logo_KIT.svg.png,"Heidelberg, Germany  ",25-30%  ,315-330  
Goethe University Frankfurt,https://upload.wikimedia.org/wikipedia/commons/1/1e/Logo-Goethe-University-Frankfurt-am-Main.svg,"Karlsruhe, Germany  ",30-40%  ,310-325  
TU Kaiserslautern,https://www.standyou.com/uploads/20220526131439_file_Technical%20University%20of%20Kaiserslautern.png,"Frankfurt, Germany  ",25-30%  ,310-325  
University of Ulm,https://www.uni-ulm.de/_assets/a92153751098915699a1afa17e77f864/Images/logo-uni-ulm.svg,"Kaiserslautern, Germany  ",30-40%  ,315-330  
University of GÃ¶ttingen,https://upload.wikimedia.org/wikipedia/commons/6/61/Uni_G%C3%B6ttingen_Siegel.svg,"Ulm, Germany  ",30-40%  ,315-330  
University of Konstanz,https://www.uni-konstanz.de/fileadmin/zentral/zentral/corporate-design/CD-images/logo.png,"Göttingen, Germany  ",25-30%  ,310-325  
University of Siegen,https://upload.wikimedia.org/wikipedia/commons/6/6b/Logo_Uni_Siegen.svg,"Konstanz, Germany  ",25-30%  ,310-325  
University of LÃ¼beck,https://unisafe-gbv.eu/wp-content/uploads/2022/08/Logo_Uni_Luebeck_1200dpi.png,"Siegen, Germany  ",25-30%  ,305-320  
University of Magdeburg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/LogoUniMagdeburg.gif/640px-LogoUniMagdeburg.gif,"Lübeck, Germany  ",30-40%  ,310-325  
University of Mainz,https://upload.wikimedia.org/wikipedia/commons/8/8a/Johannes_Gutenberg-Universit%C3%A4t_Mainz_logo.svg,"Magdeburg, Germany  ",30-40%  ,310-325  
TU Ilmenau,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/TU_Ilmenau_Logo_black_green.svg/2560px-TU_Ilmenau_Logo_black_green.svg.png,"Mainz, Germany  ",30-40%  ,310-325  
University of Hamburg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/UHH_Universit%C3%A4t_Hamburg_Logo_mit_Schrift_2010_Farbe_CMYK.svg/2560px-UHH_Universit%C3%A4t_Hamburg_Logo_mit_Schrift_2010_Farbe_CMYK.svg.png,"Hamburg, Germany  ",30-40%  ,305-320  
University of Wuppertal,https://upload.wikimedia.org/wikipedia/commons/c/c7/BUW_siegel-schwarz.png,"Wuppertal, Germany  ",25-30%  ,305-320  
Ohio State University,https://www.osu.edu/images/osu-logo-stacked.svg,"Columbus, Ohio, USA  ",35-45%  ,310-325  
Texas A&M University,https://lookaside.fbsbx.com/lookaside/crawler/media/?media_id=100068467612148,"College Station, Texas, USA  ",25-30%  ,310-325  
University of Chicago,https://upload.wikimedia.org/wikipedia/commons/c/cd/University_of_Chicago_Coat_of_arms.png,"Chicago, Illinois, USA  ",10-15%  ,325-340  
Purdue University,https://logos-world.net/wp-content/uploads/2023/08/Purdue-University-Logo.jpg,"West Lafayette, Indiana, USA  ",25-30%  ,310-325  
University of Saskatchewan,https://cdn.freebiesupply.com/logos/large/2x/university-of-saskatchewan-1-logo-png-transparent.png,"Saskatoon, Saskatchewan, Canada  ",35-45%  ,305-320  
University of Glasgow,https://www.prophesee.ai/wp-content/uploads/2021/10/University-of-glasgow-logo-gla.png,"Glasgow, Scotland, UK  ",30-40%  ,310-325  
University of Strathclyde,https://www.scotland.org/images/uploads/general/University_of_Strathclyde.jpg,"Glasgow, Scotland, UK  ",30-40%  ,305-320  
Freie Universitaet Berlin,https://www.dwih-newyork.org/files/2024/05/fu-logo-240402-RGB-p-954x392.png,"Berlin, Germany  ",30-40%  ,305-320  
University of Cologne,https://www.dwih-newyork.org/files/2018/09/2023-Uoc-EN.jpg,"Cologne, Germany  ",30-40%  ,305-320  
Bielefeld University,https://www.vatmh.org/files/villa-aurora/fotos/veranstaltungen/Logos%20von%20Kooperationspartnern/1280px-Universit%C3%A4t_Bielefeld_Logo.svg.png,"Bielefeld, Germany  ",35-45%  ,310-325  
Brock University,https://upload.wikimedia.org/wikipedia/commons/8/8a/Brock_University_Logo_2022.svg,"St. Catharines, Ontario, Canada  ",30-40%  ,305-320  
Heriot-Watt University,https://www.hw.ac.uk/uk/services/img/HWU-global-logo.jpg,"Edinburgh, Scotland, UK  ",35-45%  ,310-325  
Open University UK,https://www.iedigital.co.uk/sites/default/files/styles/c/public/clients/grey/theopenuni_one-colour.png?itok=VsrcQa4u,"Milton Keynes, England, UK  ",25-30%  ,310-325  
University of Dundee,https://www.weobserve.eu/wp-content/uploads/2018/05/logo-dundee.png,"Dundee, Scotland, UK  ",20-25%  ,305-320  
University of Potsdam,https://www.uni-potsdam.de/typo3temp/assets/_processed_/3/2/csm_UP_Logo_430x223_250750aa98.jpg,"Potsdam, Germany  ",25-30%  ,305-320  
University of Mannheim,https://brandeps.com/logo-download/U/University-of-Mannheim-logo-01.png,"Mannheim, Germany  ",25-30%  ,315-330  
Humboldt University of Berlin,https://static.cdnlogo.com/logos/h/85/humboldt-university-of-berlin.svg,"Berlin, Germany  ",20-25%  ,315-330  
Emory University,https://cdn.freelogovectors.net/svg15/emory_university-logo-freelogovectors.net.svg,"Atlanta, Georgia, USA  ",35-45%  ,305-320  
Virginia Tech,https://history.unirel.vt.edu/content/dam/history_unirel_vt_edu/traditions/UniversitySeal.jpg,"Blacksburg, Virginia, USA  ",35-45%  ,310-325  
George Mason University,https://brandeps.com/logo-download/G/George-Mason-University-logo-vector-01.svg,"Fairfax, Virginia, USA  ",35-45%  ,310-325  
Middlesex University,https://seekvectors.com/files/download/Middlesex+University-06.jpg,"London, England, UK  ",25-30%  ,310-325  
Bauhaus University Weimar,https://i.pinimg.com/originals/1e/52/49/1e5249fdc0257db452d00eed90fed423.png,"Weimar, Germany  ",30-40%  ,305-320  
Paderborn University,https://www.init-owl.de/fileadmin/user_upload/Logos/Logo_Uni_Paderborn.svg,"Paderborn, Germany  ",35-45%  ,305-320  
Wayne State University,https://iconape.com/wp-content/files/ar/191048/svg/191048.svg,"Detroit, Michigan, USA  ",30-40%  ,310-325  
University of Connecticut,https://cdn.freebiesupply.com/logos/large/2x/university-of-connecticut-1-logo-black-and-white.png,"Storrs, Connecticut, USA  ",35-45%  ,310-325  
George Washington University,https://logowik.com/index.php/content/uploads/images/the-george-washington-university5171.jpg,"Washington, D.C., USA  ",25-30%  ,315-330  
University of Kansas,https://iconape.com/wp-content/files/fq/188433/svg/the-university-of-kansas-seeklogo.com.svg,"Lawrence, Kansas, USA  ",30-40%  ,310-325  
Vanderbilt University,https://logos-download.com/wp-content/uploads/2018/04/Vanderbilt_University_logo_white.png,"Nashville, Tennessee, USA  ",30-40%  ,310-325  
Texas State University,https://vectorseek.com/wp-content/uploads/2022/04/Texas-State-University-Logo-Vector.jpg,"San Marcos, Texas, USA  ",30-40%  ,310-325  
University of Nevada Las Vegas,https://www.kindpng.com/picc/m/567-5672330_university-of-nevada-las-vegas-seal-hd-png.png,"Las Vegas, Nevada, USA  ",20-25%  ,305-320  
Worcester Polytechnic Institute,https://www.wpi.edu/sites/default/files/inline-image/Offices/Marketing-Communications/WPI_Inst_Prim_BLK.png,"Worcester, Massachusetts, USA  ",25-30%  ,310-325  
University of Iowa,https://logos-download.com/wp-content/uploads/2019/06/University_of_Iowa_Logo_full.png,"Iowa City, Iowa, USA  ",35-45%  ,305-320  
University of New Mexico,https://vectorseek.com/wp-content/uploads/2023/12/University-of-New-Mexico-Lobos-Logo-Vector.svg-.png,"Albuquerque, New Mexico, USA  ",35-45%  ,315-330  
Univ. of California - Santa Cruz,https://smallimg.pngkey.com/png/small/610-6109953_ucsc-logo-university-of-california-santa-cruz-logo.png,"Santa Cruz, California, USA  ",35-45%  ,305-320  
Kansas State University,https://cdn.freelogovectors.net/svg16/kansas_state_university_logo-freelogovectors.net.svg,"Manhattan, Kansas, USA  ",25-30%  ,315-330  
Syracuse University,https://cdn.freelogovectors.net/svg15/syracuse_university-logo-freelogovectors.net.svg,"Syracuse, New York, USA  ",30-40%  ,310-325  
University of Colorado Boulder,https://logos-download.com/wp-content/uploads/2019/11/University_of_Colorado_at_Boulder_Logo_text.png,"Boulder, Colorado, USA  ",25-30%  ,310-325  
University of Delaware,https://cdn.freelogovectors.net/svg15/university-of-delaware-logo-freelogovectors.net.svg,"Newark, Delaware, USA  ",30-40%  ,315-330  
University of Florida,https://brandeps.com/logo-download/U/University-of-Florida-logo-vector-01.svg,"Gainesville, Florida, USA  ",25-30%  ,305-320  
University of Augsburg,https://study-eu.s3.amazonaws.com/uploads/university/university-of-augsburg-logo.png,"Augsburg, Germany  ",30-40%  ,310-325  
TU Braunschweig,http://www.claudia-ruff.de/diss/siegelsw.gif,"Braunschweig, Germany  ",30-40%  ,310-325  
University of Bamberg,https://fordaysec.de/wp-content/uploads/2022/09/Uni_Bamberg_Logo_grau300.png,"Bamberg, Germany  ",30-40%  ,310-325  
University of Erlangenâ€“Nuremberg,https://logowik.com/content/uploads/images/university-of-erlangen-nuremberg-fau-new7558.jpg,"Nuremberg, Germany  ",35-45%  ,315-330  
University of Oldenburg,https://uol.de/fileadmin/_processed/2/7/csm_FSR_Logo_NEU_c179885063.jpeg,"Oldenburg, Germany  ",35-45%  ,310-325  
Duke University,https://cdn.freelogovectors.net/svg15/duke-logo-01-freelogovectors.net.svg,"Durham, North Carolina, USA  ",30-40%  ,315-330  
University of St Andrews,https://www.vitalenergi.co.uk/Media/gg4fh2y2/university-of-st-andrews-logo.png,"St Andrews, Scotland, UK  ",30-40%  ,315-330  
Hamburg University of Technology,https://2021.midl.io/images/tuhh.png,"Hamburg, Germany  ",30-40%  ,315-330  
University of Kassel,https://brandeps.com/logo-download/U/Uni-Kassel-logo-vector-01.svg,"Kassel, Germany  ",30-40%  ,315-330  
Univ. of California - Santa Barbara,https://i.pinimg.com/originals/6f/72/1e/6f721ec574f85a8450ae78fd7827c882.png,"Santa Barbara, California, USA  ",30-40%  ,315-330  
Yale University,https://vectorified.com/image/yale-university-logo-vector-33.jpg,"New Haven, Connecticut, USA  ",10-15%  ,325-340  
Brown University,https://logos-world.net/wp-content/uploads/2022/11/Brown-University-Seal-Logo-500x281.png,"Providence, Rhode Island, USA  ",10-15%  ,320-335  
University of Utah,https://upload.wikimedia.org/wikipedia/en/thumb/4/4a/University_of_Utah_seal.svg/640px-University_of_Utah_seal.svg.png,"Salt Lake City, Utah, USA  ",20-25%  ,310-325  
University of OsnabrÃ¼ck,https://www.landtechnik.uni-bonn.de/de/nutztierhaltung/projekte/bilder/must2/2560px-logo_der_hochschule_osnabrueck-svg.png/@@images/image.png,"Osnabrück, Germany  ",25-30%  ,305-320  
University of Texas at Arlington,https://cdn.freelogovectors.net/svg16/university_of-texas-at-arlington-logo-freelogovectors.net.svg,"Arlington, Texas, USA  ",20-25%  ,305-320  
University of Bayreuth,http://www.summerschool.uni-bayreuth.de/i/logo-ub.png,"Bayreuth, Germany  ",25-30%  ,305-320  
University of Marburg,https://de-academic.com/pictures/dewiki/115/siegel_uni-marburg.png,"Marburg, Germany  ",25-30%  ,310-325  
University of MÃ¼nster,https://logowik.com/content/uploads/images/university-of-munster7367.jpg,"Münster, Germany  ",25-30%  ,310-325  
Tulane University,https://m.media-amazon.com/images/I/61WJieXnHDL.jpg,"New Orleans, Louisiana, USA  ",25-30%  ,305-320  
College of William and Mary,https://i.forbesimg.com/media/lists/colleges/college-of-william-and-mary_416x416.jpg,"Williamsburg, Virginia, USA  ",25-30%  ,310-325  
NJIT,https://www.logolynx.com/images/logolynx/s_75/75522f57b46b29eeb10dcd9e6afa5c1b.jpeg,"Newark, New Jersey, USA  ",35-45%  ,305-320  
Iowa State University,https://www.kindpng.com/picc/m/182-1820214_transparent-iowa-state-logo-png-iowa-state-university.png,"Ames, Iowa, USA  ",30-40%  ,305-320  
Northern Arizona University,https://static.cdnlogo.com/logos/n/59/northern-arizona-suns.svg,"Flagstaff, Arizona, USA  ",35-45%  ,305-320  
Oregon State University,https://logo-marque.com/wp-content/uploads/2022/01/Oregon-State-University-Seal-Logo.jpg,"Corvallis, Oregon, USA  ",35-45%  ,305-320  
University of Nebraska,https://www.logotypes101.com/logos/654/EFFC5EEE7BE2D9597763259F2EFB89B3/University_Of_Nebraska.png,"Lincoln, Nebraska, USA  ",35-45%  ,305-320  
Case Western Reserve University,https://www.logolynx.com/images/logolynx/86/8693c01877dbfc8a978267e747cabad8.png,"Cleveland, Ohio, USA  ",35-45%  ,305-320  
Univ. of California - Davis,https://2.bp.blogspot.com/-EIhahCzBDj8/VQI3vRa4-hI/AAAAAAAAFUM/bO9le7PCSU4/s320/500px-The_University_of_California_Davis.svg-701428.png,"Davis, California, USA  ",35-45%  ,310-325  
Washington State University,https://brandeps.com/logo-download/W/Washington-State-University-logo-vector-01.svg,"Pullman, Washington, USA  ",30-40%  ,305-320  
University of Passau,https://www.picais.uni-passau.de/typo3temp/assets/_processed_/1/1/csm_logo1_11b1d6c369.png,"Passau, Germany  ",35-45%  ,305-320  
TU Chemnitz,https://www.tu-chemnitz.de/informatik/KI/press/articles/TU_Chemnitz_Logo_schwarz_RGB.png,"Chemnitz, Germany  ",30-40%  ,305-320  
Georgetown University,https://clipartcraft.com/images/georgetown-university-logo-seal-7.png,"Washington, D.C., USA  ",25-30%  ,310-325  
Florida State University,https://logos-download.com/wp-content/uploads/2018/01/Florida_State_University_logo_white.png,"Tallahassee, Florida, USA  ",30-40%  ,310-325  
Bundeswehr University Munich,https://www.corps-palatia.de/img/uni4.jpg,"Munich, Germany  ",35-45%  ,305-320  
University of Regensburg,https://logosrated.net/wp-content/uploads/parser/University-of-Regensburg-Logo-1.png,"Regensburg, Germany  ",25-30%  ,310-325  
University of Minnesota,https://static.vecteezy.com/system/resources/previews/026/555/222/large_2x/university-of-minnesota-logo-transparent-free-png.png,"Minneapolis, Minnesota, USA  ",35-45%  ,310-325  
Memorial University of Newfoundland,https://mun.ca/marcomm/media/production/memorial/administrative/marcomm/images/logos/MUN_Logo_bw_reversed--800.png,"St. John's, Newfoundland and Labrador, Canada  ",25-30%  ,310-325  
University of Bremen,https://gerit.org/images/content/logo-grey/10182_uni_bremen_logo.svg,"Bremen, Germany  ",25-30%  ,305-320  
Jacobs University Bremen,https://brandeps.com/logo-download/J/Jacobs-University-Bremen-logo-vector-01.svg,"Bremen, Germany  ",30-40%  ,310-325  
THWS,https://www.thws.de/fileadmin/template2016/images/THWS.svg,"Schweinfurt, Germany  ",20-25%  ,305-320  
Dartmouth College,https://logos-marcas.com/wp-content/uploads/2021/03/Dartmouth-College-Logo.jpg,"Hanover, New Hampshire, USA  ",25-30%  ,305-320  
